code,label,description,position,type
1,"Classe 1 — Comptes de capitaux (Fonds propres, emprunts et dettes assimilés)",,Passif,
10,FONDS ASSOCIATIFS ET RÉSERVES,,Passif,
102,Fonds associatifs sans droit de reprise,,Passif,
1021,Première situation nette établie,,Passif,
1022,Fonds statutaires,,Passif,
1023,Dotations non consomptibles,,Passif,
10231,Dotations non consomptibles initiales,,Passif,
10232,Dotations non consomptibles complémentaires,,Passif,
1024,Autres fonds propres sans droit de reprise,,Passif,
103,Fonds associatif avec droit de reprise,,Passif,
1032,Fonds statutaires,,Passif,
1034,Autres fonds propres avec droit de reprise,,Passif,
105,Ecarts de réévaluation,,Passif,
1051,Ecarts réévaluation sur biens sans dt reprise,,Passif,
1052,Ecarts réévaluation sur biens avec dt reprise,,Passif,
106,Réserves,,Passif,
1062,Réserves indisponibles,,Passif,
1063,Réserves statutaires,,Passif,
1064,Réserves réglementées,,Passif,
1068,Réserves pour projet de l’entité,,Passif,
108,Dotations consomptibles,,Passif,
1081,Dotations consomptibles,,Passif,
1089,Dot. consomptibles inscrites au cpte de résul,,Passif,
11,REPORT à NOUVEAU,,Passif,
110,Report à nouveau (Solde créditeur),,Passif,
119,Report à nouveau (Solde débiteur),,Passif,
12,RÉSULTAT NET DE L'EXERCICE,,Passif,
120,Résultat de l'exercice (excédent),,Passif,Résultat excédentaire
129,Résultat de l'exercice (déficit),,Passif,Résultat déficitaire
13,SUBVENTIONS D'INVESTISSEMENTS,,Passif,
131,Subventions d'équipement,,Passif,
139,Subventions inscrites au compte de résultat,,Passif,
14,PROVISIONS RÉGLEMENTÉES,,Passif,
148,Autres provisions réglementées,,Passif,
15,PROVISIONS POUR RISQUES ET CHARGES,,Passif,
151,Provisions pour risques,,Passif,
152,Provisions pour charges sur legs ou donations,,Passif,
153,Provisions pour pensions et obligations simil,,Passif,
155,Provisions pour impôts,,Passif,
157,Provisions pour charges à répartir,,Passif,
158,Autres provisions pour charges,,Passif,
16,EMPRUNTS ET DETTES ASSIMILÉES,,Passif,
163,Autres emprunts obligataires,,Passif,
1631,Titres associatifs et assimilés,,Passif,
164,Emprunts auprès des établissements de crédit,,Passif,
165,Dépôts et cautionnements reçus,,Passif,
1651,Dépôts,,Passif,
1655,Cautionnements,,Passif,
167,Emprunts et dettes sous conditions particulières,,Passif,
168,Autres emprunts et dettes assimilées,,Passif,
18,COMPTES DE LIAISONS,,Passif,
181,Apports permanents siège-établissements,,Passif,
185,Biens & PS échangés siège-établissements,,Passif,
186,Biens & PS entre établissements - Charges,,Passif,
187,Biens & PS entre établissements - Produits,,Passif,
19,FONDS DÉDIÉS OU REPORTÉS,,Passif,
191,Fonds reportés liés aux legs ou donations,,Passif,
1911,Legs ou donations,,Passif,
1912,Donations temporaires d’usufruit,,Passif,
194,Fonds dédiés sur subventions fonctionnement,,Passif,
195,F.d. / contributions financières autres org.,,Passif,
196,F.d. / ressources liées à la générosité,,Passif,
2,Classe 2 — Comptes d'immobilisations,,Actif,
20,IMMOBILISATIONS INCORPORELLES,,Actif,
201,Frais d'établissement,,Actif,
203,Frais de recherche et de développement,,Actif,
204,Donations temporaires d’usufruit,,Actif,
205,"Brevets, licences, marques...",,Actif,
206,Droit au bail,,Actif,
208,Autres immobilisations incorporelles,,Actif,
21,IMMOBILISATIONS CORPORELLES,,Actif,
211,Terrains,,Actif,
212,Agencements / aménagements de terrains,,Actif,
2131,Bâtiments,,Actif,
2135,"Installations, agencements...de constructions",,Actif,
214,Constructions sur sol d'autrui,,Actif,
215,"Installations techniques, matériel, outillage",,Actif,
2154,Matériel industriel,,Actif,
2155,Outillage industriel,,Actif,
218,Autres immobilisations corporelles,,Actif,
2181,"Installations, agencements, aménagem. divers",,Actif,
2182,Matériel de transport,,Actif,
2183,Matériel bureau et informatique,,Actif,
2184,Mobilier,,Actif,
23,IMMOBILISATIONS EN COURS,,Actif,
231,Immobilisations corporelles en cours,,Actif,
238,"Avances, acomptes sur immobilis. corporelles",,Actif,
24,BIEN DESTINÉS À ÊTRE CÉDÉS,,Actif,
240,Biens reçus par legs ou donations à céder,,Actif,
26,PARTICIPATIONS ET CRÉANCES RATTACHÉES,,Actif,
261,Titres de participation,,Actif,
266,Autres formes de participation,,Actif,
267,Créances rattachées à des participations,,Actif,
269,Versements restants sur participations,,Actif,
27,IMMOBILISATIONS FINANCIERES,,Actif,
271,Titres immobilisés (droit de propriété),,Actif,
272,Titres immobilisés (droit de créance),,Actif,
274,Prêts,,Actif,
2742,Prêts aux partenaires,,Actif,
275,Dépôts et cautionnements versés,,Actif,
276,Autres créances immobilisées,,Actif,
28,AMORTISSEMENTS DES IMMOBILISAT,,Actif,
2801,Amt. frais d'établissement,,Actif,
2804,Amt. donations temporaires d’usufruit,,Actif,
2805,"Amt brevets, licences, marques...",,Actif,
2806,Amt. droit au bail,,Actif,
2808,Amt. autres immo.incorporelles,,Actif,
2812,"Amt.agencements, aménagements de terrains",,Actif,
28131,Amortissements bâtiments,,Actif,
28135,"Amt. installations, agencements...",,Actif,
2814,Amt.constructions sur sol d'autrui,,Actif,
2815,"Amt instal. techniques, matériel, outillage",,Actif,
28181,"Amt. intallations, agencements, aménagements",,Actif,
28182,Amt. matériel de transport,,Actif,
28183,"Amortiss.matériel de bureau, informatique",,Actif,
28184,Amortissements du mobilier,,Actif,
29,DÉPRÉCIATIONS DES IMMOBILISATIONS,,Actif,
2904,Donations temporaires d'usufruit,,Actif,
2905,"Brevets, licences, marques...",,Actif,
2906,Droit au bail,,Actif,
2908,Autres immobilisations incorporelles,,Actif,
2911,Terrains,,Actif,
2931,Immobilisations corporelles en cours,,Actif,
294,Biens reçus par legs ou donations à céder,,Actif,
2961,Titres de participations,,Actif,
2966,Autres formes de participations,,Actif,
2967,Créances rattachées à des participations,,Actif,
2971,Titres immobilisés (droit de propriété),,Actif,
2972,Titres immobilisés (droit de créance),,Actif,
2974,Prêts,,Actif,
2975,Dépôts et cautionnements versés,,Actif,
2976,Autres créances immobilisées,,Actif,
3,Classe 3 — Comptes de stocks,,Actif,
31,MATIÈRES PREMIÈRES ET FOURNITURES,,Actif,
318,Matières premières et fournitures,,Actif,
32,AUTRES APPROVISIONNEMENTS,,Actif,
321,Matières consommables,,Actif,
322,Fournitures consommables,,Actif,
326,Emballages,,Actif,
33,EN-COURS DE PRODUCTION DE BIENS,,Actif,
331,Produits en cours,,Actif,
335,Travaux en cours,,Actif,
34,EN-COURS DE PROUCTION DE SERVICES,,Actif,
341,Etudes en cours,,Actif,
345,Prestations de services en cours,,Actif,
35,STOCKS DE PRODUITS,,Actif,
351,Produits intermédiaires,,Actif,
355,Produits finis,,Actif,
358,Produits résiduels,,Actif,
37,STOCKS DE MARCHANDISES,,Actif,
370,Stocks de marchandises,,Actif,
39,PROVISIONS PR DÉPRECIATIONS STOCKS & EN-COURS,,Actif,
391,Matières premières et fournitures,,Actif,
392,Autres approvisionnements,,Actif,
393,En-cours de production de biens,,Actif,
394,En-cours de production de services,,Actif,
395,Stocks de produits,,Actif,
397,Stocks de marchandises,,Actif,
4,Classe 4 — Comptes de tiers,,Actif ou passif,
40,FOURNISSEURS ET COMPTES RATTACHÉS,,Actif ou passif,
401,Fournisseurs,,Actif ou passif,
4010,Autres fournisseurs,,Actif ou passif,Tiers
403,Fournisseurs - Effets à payer,,Passif,
404,Fournisseurs d'immobilisations,,Actif ou passif,
405,Fournisseurs d'immos - Effets à payer,,Passif,
408,Fournisseurs - Factures non parvenues,,Passif,
4091,Fournisseurs - Avances & acomptes,,Actif,
41,USAGERS ET COMPTES RATTACHÉS,,Actif ou passif,
411,Usagers,,Actif ou passif,
4110,Autres usagers,Pour les dettes ou créances des membres,Actif ou passif,Tiers
413,Usagers - Effets à recevoir,,Actif,
416,Usagers douteux ou litigieux,,Actif,
418,Usagers non encore facturés,,Actif,
4191,Usagers créditeurs : Avances et acomptes,,Passif,
42,PERSONNEL ET COMPTES RATTACHÉS,,Actif ou passif,
421,Personnel : Rémunérations dues,,Passif,
4210,Autres membres du personnel,Dettes dûes aux salarié⋅e⋅s,Actif ou passif,Tiers
422,"Comités d'entreprise, d'établissement",,Actif ou passif,
425,Personnel : Avances & acomptes,,Actif,
427,Personnel - Oppositions,,Passif,
4286,Personnel- Charges à payer,,Passif,
4287,Personnel- Produits à recevoir,,Actif,
43,SÉCURITÉ SOCIALE &  AUTRES ORGANISMES SOCIAUX,,Passif,
431,Sécurité sociale,,Passif,
4372,Mutuelles,,Passif,
4373,Caisses de retraites et de prévoyance,,Passif,
4378,Autres organismes sociaux,,Passif,
44,ETAT ET AUTRES COLLECTIVITÉS PUBLIQUES,,Actif,
441,Etat - Subventions à recevoir,,Actif,
4421,Prélèvements à la source- Impôt sur le revenu,,Actif ou passif,
444,Etat - Impôts sur les bénéfices,,Actif ou passif,
4452,TVA due intracommunautaire,,Actif ou passif,
4455,Taxes sur CA à décaisser,,Actif,
44562,TVA déductible sur immobilisations,,Actif,
44566,TVA déductible sur autres biens et services,,Actif,
44571,TVA normale collectée,,Actif,
445711,TVA réduite collectée,,Actif,
445712,TVA super-réduite collectée,,Actif,
445713,TVA intermédiaire collectée,,Actif,
4458,Taxe sur CA à régulariser ou en attente,,Actif,
447,"Autres impôts, taxes et versements assimilés",,Actif,
4486,Etat - Charges à payer,,Passif,
4487,Etat - Produits à recevoir,,Actif,
45,"CONFÉDÉRATION, FEDERATION, UNIONS...AFFILIÉES",,Actif ou passif,
451,"Confédération, fédération at assoc. affiliées",,Actif ou passif,
455,Partenaires - comptes courants,,Actif ou passif,
46,DEBITEURS DIVERS ET CREDIT.DVS,,Actif ou passif,
461,Créances reçues par legs ou donations,,Actif,
466,Dettes des legs ou donations,,Passif,
4671,Débiteurs divers,,Actif ou passif,
4672,Créditeurs divers,,Actif ou passif,
4681,Frais des bénévoles,,Actif ou passif,
4686,Divers - Charges à payer,,Passif,
4687,Divers - Produits à recevoir,,Actif,
47,COMPTES D'ATTENTE,,Actif ou passif,
4715,Compte de transit,,Actif ou passif,
4718,Compte d'attente,,Actif ou passif,
48,COMPTES DE REGULARISATION,,Actif ou passif,
481,Charges à répartir,,Passif,
486,Charges constatées d'avance,,Actif,
487,Produits constatés d'avance,,Passif,
49,DÉPRECIATIONS DES COMPTES DE TIERS,,Actif ou passif,
491,Prov. pour dépreciation des comptes d'usagers,,Passif,
496,Prov. pour dépreci. cptes débiteurs divers,,Passif,
5,Classe 5 — Comptes financiers,,Actif,
50,VALEURS MOBILIERES DE PLACEMENT,,Actif,
503,Actions,,Actif,
506,Obligations,,Actif,
508,Autres VMP et créances assimilées,,Actif,
51,"BANQUES, ETABLISSEMENTS FINANCIERS",,Actif,
5112,Chèques à encaisser,,Actif ou passif,Attente d'encaissement
5115,Paiements par carte à encaisser,,Actif ou passif,
512,Banques,,Actif ou passif,
5186,Intérêts courus à payer,,Passif,
5187,Intérêts courus à recevoir,,Actif,
53,Caisses,,Actif ou passif,
530,Caisse,,Actif ou passif,Caisse
58,VIREMENTS INTERNES,,Actif ou passif,
580,Virements internes,,Actif ou passif,
59,DEPRECIATIONS DES COMPTES FINANCIERS,,Actif ou passif,
5903,Actions,,Actif ou passif,
5906,Obligations,,Actif ou passif,
5908,Autres VMP et créances assimilées,,Actif ou passif,
6,Classe 6 — Comptes de charges,,Charge,
60,ACHATS (SAUF 603),,Charge,
601,Achats stockés - Matières premières et fournitures,,Charge,
6010,Achats stockés de matières et fournitures,,Charge,
6011,Achats stockés - Matières premières,,Charge,
6017,Achats stockés - Fournitures,,Charge,
602,Achats stockés - Autres approvisionnements,,Charge,
6021,Achats stockés - Matières consommables,,Charge,
60221,Achats stockés - Combustibles,,Charge,
60222,Achats stockés - Produits d'entretien,,Charge,
60223,Achats stockés - Fournitures d'atelier,,Charge,
60224,Achats stockés - Fournitures de magasin,,Charge,
60225,Fournitures de bureau,,Charge,
6026,Achats stockés - Emballages,,Charge,
603,Variations de stocks,,Charge,
6031,Variations de stocks matières & fournitures,,Charge,
6032,Variations stocks autres approvisionnements,,Charge,
6037,Variations de stocks de marchandises,,Charge,
604,Achats d'études et prestations de services,,Charge,
605,"Achats matériel, équipements & travaux",,Charge,
606,Achats non stockés de matières et fournitures,,Charge,
6061,"Fournitures non stockables (eau, énergie...)","Facture d'eau, d’électricité, etc.",Charge,Dépenses
60611,Eau,,Charge,
60612,Electricité,,Charge,
60613,Chauffage,,Charge,
6063,Fournitures d'entretien et petit équipement,"Vis, et matériel de bricolage (sauf outils) par exemple",Charge,Dépenses
6064,Fournitures administratives,"Cartouches d'encre, papier, matériel bureautique, etc.",Charge,Dépenses
6065,Petits logiciels,Par exemple contribution à un logiciel de gestion associative génial :-),Charge,Dépenses
6068,Autres fournitures & matières,,Charge,Dépenses
607,Achats de marchandises,Marchandises destinées à être revendues en l'état.,Charge,Dépenses
608,Frais accessoires d'achats,,Charge,
60811,Frais accessoires d'achats sur matières,,Charge,
60817,Frais accessoires d'achats sur fournitures,,Charge,
609,"Rabais, remises et ristournes sur achats",,Charge,
6091,RRR sur achats matières et fournitures,,Charge,
6092,RRR sur achats et autres approvisionnements,,Charge,
6097,RRR sur achats de marchandises,,Charge,
61,SERVICES EXTERIEURS,,Charge,
611,Sous-traitance générale,,Charge,
6122,Redevance crédit-bail mobilier,,Charge,
6125,Redevances crédit-bail immobilier,,Charge,
6132,Locations immobilières,Locations versées pour un local ou du matériel.,Charge,Dépenses
6135,Locations mobilières,,Charge,
6136,Malis sur emballages,,Charge,
614,Charges locatives et de copropriété,,Charge,
6152,Entretien sur biens immobiliers,,Charge,
6155,Entretien sur biens mobiliers,,Charge,
6156,Maintenance,,Charge,
616,Primes d'assurance,"Frais d’assurance local, activité, etc.",Charge,Dépenses
6161,Primes d'assurances mutirisques,,Charge,
6164,Primes d'assurances / risques d'exploitation,,Charge,
6165,Primes d'assurances / insolvabilité usagers,,Charge,
6168,Autres assurances,,Charge,
617,Etudes et recherches,,Charge,
6181,Documentation générale,,Charge,
6183,Documentation technique,,Charge,
6185,"Frais de colloques, séminaires, conférences",,Charge,
6187,Prestations administratives,,Charge,
62,AUTRES SERVICES EXTERIEURS,,Charge,
621,Personnel extérieur à l'association,,Charge,
6211,Personnel intérimaire,,Charge,
6214,Personnel détaché ou prêté à l'association,,Charge,
62141,Mises à disposition de personnel salarié,Frais de mise à disposition via un groupement d’employeurs,Charge,Dépenses
622,Rémunérations d'intermédiaires et honoraires,,Charge,
6221,Commissions ... sur achats,,Charge,
6222,Commissions... sur ventes,,Charge,
6226,Honoraires,,Charge,
62264,Honoraires sur legs ou donations à céder,,Charge,
6227,Frais d'actes et de contentieux,,Charge,
6228,Rémunérations div .intermédiaires & honor.,,Charge,
623,"Publicité, publications, relations publiques","Bulletins, affiches, communication, etc.",Charge,Dépenses
6231,Annonces et insertions,,Charge,
6232,Fêtes et cérémonies,,Charge,
6233,Foires et expositions,,Charge,
6234,Cadeaux,,Charge,
6236,Catalogues et imprimés,,Charge,
6237,Publications,,Charge,
6238,"Divers : pourboires, dons courants",,Charge,
624,Transports de biens...,,Charge,
6241,Transports sur achats,,Charge,
6242,Transports sur ventes,,Charge,
6243,Transports entre établissements,,Charge,
6244,Transports administratifs,,Charge,
6247,Transports collectifs du personnel,,Charge,
6248,Transports divers,,Charge,
625,"Déplacements, missions et réceptions","Billet de train, remboursement de frais kilométrique, etc.",Charge,Dépenses
6251,Voyages et déplacements,,Charge,
6255,Frais de déménagement,,Charge,
6256,Frais de missions,,Charge,
6257,"Frais de réceptions, représentations",,Charge,
626,Frais postaux et de télécommunications,"Facture d'accès à Internet, timbres, etc.",Charge,Dépenses
6261,Liaisons spécialisées,,Charge,
6263,"Affranchissements, frais postaux",,Charge,
6265,Téléphone,,Charge,
627,Services bancaires et assimilés,Frais bancaires,Charge,Dépenses
628,Divers,,Charge,Dépenses
6281,Cotisations (liées à l'activité économique),,Charge,
6284,Frais de recrutement du personnel,,Charge,
63,"IMPÔTS, TAXES ET VERSEMENTS ASSIMILÉS",,Charge,
631,Sur rémunérations - administration des impôts,,Charge,
6311,Taxe sur les salaires,,Charge,
633,Sur rémunérations - autres organismes,,Charge,
6331,Versement de transport,,Charge,
6332,Allocation logement,,Charge,
6333,Formation professionnelle continue,,Charge,
6334,Participations employeurs à l'effort de const,,Charge,
635,Autres - Administration des impôts,,Charge,
63512,Taxes foncières,,Charge,
63513,Autres impôts locaux,,Charge,
6354,Droits d'enregistrement et de timbre,,Charge,
637,Autres - Autres organismes,,Charge,
64,CHARGES DE PERSONNEL,,Charge,
641,Rémunérations du personnel,,Charge,
6411,"Salaires, appointements",,Charge,
6412,Congés payés,,Charge,
6413,Primes et gratifications,,Charge,
6414,Indemnités et avantages divers,,Charge,
6415,Supplément familial,,Charge,
645,Charges de sécurité sociale et de prévoyance,,Charge,
6451,Cotisations à l'URSSAF,,Charge,
6452,Cotisations aux mutuelles,,Charge,
6453,Cotisations caisses de retraites et de prévoy,,Charge,
6458,Cotisations aux autres organismes sociaux,,Charge,
647,Autres charges sociales,,Charge,
6472,Versements aux comités d'entreprise et d'étab,,Charge,
6473,Versement aux comités d'hygiène et de sécurit,,Charge,
6474,Versements aux autres oeuvres sociales,,Charge,
6475,"Médecine du travail, pharmacie",,Charge,
648,Autres charges de personnel,,Charge,
6481,Indemnités du personnel de culte,,Charge,
6485,Charges sociales sur indemnités de culte,,Charge,
6488,Autres charges de personnel,,Charge,
65,AUTRES CHARGES DE GESTION COURANTE,,Charge,
6511,"Redevances pour concessions, brevets, licenc.",,Charge,
6516,Droits d'auteur et de reproduction,,Charge,
6518,Autres droits et valeurs similaires,,Charge,
652,Licences fédérales,Licences payées pour les adhérents (par exemple fédération sportive etc.),Charge,Dépenses
653,Charges de la générosité du public,,Charge,
6531,Autres charges sur legs ou donations,,Charge,
654,Pertes sur créances irrécouvrables,,Charge,
655,Quotes-parts sur opérations faites en commun,,Charge,
657,Aides financières,,Charge,
6571,Aides financières octroyées,,Charge,
6572,Quotes-parts de générosité reversée,,Charge,
658,Charges diverses de gestion courante,,Charge,Dépenses
6586,Cotisations (vie statutaire),,Charge,
6588,Charges diverses de gestion courante,,Charge,
66,CHARGES FINANCIERES,,Charge,
661,Charges d'intérêts,,Charge,
665,Escomptes accordés,,Charge,
666,Pertes de changes,,Charge,
667,Charges nettes sur cessions de VMP,,Charge,
668,Autres charges financières,,Charge,
67,CHARGES EXEPTIONNELLES,,Charge,
670,Charges exceptionnelles,Autres dépenses exceptionnelles,Charge,Dépenses
6712,"Pénalités, amendes fiscales at pénales",,Charge,
6713,"Dons, libéralités",,Charge,
6714,Créances devenues irrécouvrables,,Charge,
6718,Autres charges exceptionnelles de gestion,,Charge,
673,Apports ou affectations en numéraire,,Charge,
675,Valeurs comptables des éléments d'actifs cédés,,Charge,
6750,Valeurs comptables des actifs cédés,,Charge,
6754,Immobilisations reçues par legs ou donations,,Charge,
678,Autres charges exceptionnelles sur opération en capital,,Charge,
68,"DOT. AUX AMORTISS., DÉPRÉC. ET ENGAGEMENTS",,Charge,
6811,Dot. aux amortissements des immobilisations,,Charge,
6812,Dot. aux amortissements charges à répartir,,Charge,
6815,Dot. aux provisions d'exploitation,,Charge,
6816,Dot. provisions pour dépréciations des immos,,Charge,
68164,Dot. pr dépréc. d’actifs reçus par legs ou donations,,Charge,
6817,Dot. aux dépréciations des actifs circulants,,Charge,
68173,Dotations dépréciations stocks et en-cours,,Charge,
68174,Dotations dépréciations créances,,Charge,
686,Dot. aux amort. & prov. - Charges financières,,Charge,
68662,Dot. aux amort. & prov immos financières,,Charge,
68665,Dot. aux amort. & prov VMP,,Charge,
687,Dot. aux amort. & prov. - Charges exceptionn.,,Charge,
689,Reports en fonds dédiés,,Charge,
6891,Reports en fonds reportés,,Charge,
6894,Reports en fonds dédiés / subventions d’exploitation,,Charge,
6895,Reports en fds dédiés / contributions financières d'autres organismes,,Charge,
6896,Reports en fds dédiés / ressources générosité,,Charge,
69,IMPÔTS SUR LES BENEFICES,,Charge,
695,IS sur personnes non lucratives,,Charge,
7,Classe 7 — Comptes de produits,,Produit,
70,"VENTES PROD.FINIS, MARCHANDISES, PRESTATIONS",,Produit,
701,Ventes de produits finis,Vente de produits fabriqués par l'association.,Produit,Recettes
702,Ventes de produits intermédiaires,,Produit,
703,Ventes de produits résiduels,,Produit,
704,Travaux,,Produit,
705,Etudes,,Produit,
706,Prestations de services,,Produit,Recettes
7063,Parrainages,,Produit,
707,Ventes de marchandises,Ventes de produits achetés et revendus en l’état,Produit,Recettes
7073,Ventes de dons en nature,,Produit,
708,Produits des activités annexes,,Produit,
7081,Produits des prestations fournies au personne,,Produit,
7083,Locations diverses,,Produit,
7085,Ports et frais accessoires facturés,,Produit,
7088,Autres produits d'activités annexes,,Produit,
709,RRR accordés,,Produit,
7091,RRR sur ventes de produits finis,,Produit,
7092,RRR sur ventes de produits intermédiaires,,Produit,
7094,RRR sur travaux,,Produit,
7095,RRR sur études,,Produit,
7096,RRR sur prest.de services,,Produit,
7097,RRR sur ventes marchandises,,Produit,
71,PRODUCTION STOCKEE,,Produit,
713,"Variation de stocks (en-cours, productions)",,Produit,
7133,Variation des en-cours de production de biens,,Produit,
7134,Variation des en-cours de production services,,Produit,
7135,Variations de stocks de produits,,Produit,
72,PRODUCTION IMMOBILISEE,,Produit,
721,Production immobilisée incorporelle,,Produit,
722,Production immobilisée corporelle,,Produit,
73,CONCOURS PUBLICS,,Produit,
730,Concours publics,,Produit,
74,SUBVENTION D'EXPLOITATION,,Produit,
740,Subventions reçues,,Produit,Recettes
748,Subventions d'exploitation diverses,,Produit,
75,AUTRES PRODUITS DE GESTION COURANTE,,Produit,
751,"Redevances pour concessions, licences...",,Produit,
753,Versements des fondateurs ou consommation dot,,Produit,
7531,Versements des fondateurs,,Produit,
7532,Quotes-parts de dotation consomptible virée a,,Produit,
754,Ressources liées à la générosité du public,Dons reçus,Produit,Recettes
7541,Dons manuels,,Produit,
75411,Dons manuels,,Produit,
75412,Abandons de frais par les bénévoles,,Produit,
7542,Mécénats,,Produit,
7543,"Legs, donations et assurances-vie",,Produit,
75431,Assurances-vie,,Produit,
75432,Legs ou donations,,Produit,
75433,Autres produits sur legs ou donations,,Produit,
755,Contributions financières,,Produit,
7551,Contributions financières d’autres organismes,,Produit,
7552,Quotes-parts de générosité reçues,,Produit,
756,Cotisations,Cotisations des adherent⋅e⋅s,Produit,Recettes
7561,Cotisations sans contrepartie,,Produit,
7562,Cotisations avec contrepartie,,Produit,
757,Gains de change / créances et dettes d’exploitation,,Produit,
758,Produits divers de gestion courante,,Produit,
7588,Autres produits divers de gestion courante,,Produit,
76,PRODUITS FINANCIERS,,Produit,
761,Produits des participations,,Produit,
762,Produits des autres immobilisat. financières,,Produit,
763,Revenus des autres créances,,Produit,
764,Revenus des VMP,,Produit,
765,Escomptes obtenus,,Produit,
766,Gains de change,,Produit,
767,Produits nets sur cession VMP,,Produit,
768,Autres produits financiers,,Produit,
77,PRODUITS EXCEPTIONNELS,,Produit,
771,Produits exception. sur opération de gestion,,Produit,
7713,Libéralités perçues,,Produit,
7718,Autres produits exception. sur op. de gestion,,Produit,
775,Produits des cessions d'actif,,Produit,
7754,Immos reçues en legs ou donations à céder,,Produit,
777,QP subvention d'investissement virée au résul,,Produit,
778,Autres produits exceptionnels,,Produit,
7780,Manifestations diverses,"Revenus provenant de manifestations au profit de l'association : droit d'entrée, location d'emplacement en vide grenier, ventes, etc.",Produit,Recettes
78,"REPRISES SUR AMORT., DÉPRÉC., ENGAGEMENTS",,Produit,
781,Reprises / amt & prov. d'exploitation,,Produit,
7811,Amt immos corporelles & incorporelles,,Produit,
7815,Reprises sur provisions d'exploitation,,Produit,
7816,Déprec. immos corporelles & incorporelles,,Produit,
78164,Reprises dépréc. d’actifs reçus par legs ou donations destinés à être cédés,,Produit,
7817,Dépréciations actifs circulant,,Produit,
786,Reprises / amt & prov. financiers,,Produit,
7865,Risques & charges financiers,,Produit,
7866,Déprec.des éléments financiers,,Produit,
787,Reprises sur amt & prov. exceptionnelles,,Produit,
7872,Provisions réglementées - Immobilisations,,Produit,
7873,Provisions réglementées - stocks,,Produit,
7874,Autres provisions réglementées,,Produit,
7875,Risques et charges,,Produit,
7876,Dépréciations exceptionnelles,,Produit,
789,Utilisations fds reportés et de fds dédiés,,Produit,
7891,Utilisations de fonds reportés,,Produit,
7894,Utilisations des fonds dédiés / subventions,,Produit,
7895,Utilisations des fds dédiés / contributions,,Produit,
7896,Utilisations des fds dédiés / générosité,,Produit,
79,TRANSFERT DE CHARGES,,Produit,
791,Transferts de charges d'exploitation,,Produit,
796,Transferts de charges financières,,Produit,
797,Transferts de charges exceptionnelles,,Produit,
8,Classe 8 ­— Comptes spéciaux,,,
86,EMPLOIS CONTRIBUTIONS VOLONTAIRES EN NATURE,,,
860,Secours en nature,,Charge,Bénévolat
8601,Alimentaires,,Charge,Bénévolat
8602,Vestimentaires,,Charge,Bénévolat
861,Mise à dispositions gratuites de biens,,Charge,Bénévolat
8611,Locaux,,Charge,Bénévolat
8612,Matériels,,Charge,Bénévolat
862,Prestations,,Charge,Bénévolat
864,Personnel bénévole,,Charge,Bénévolat
87,CONTRIBUTIONS VOLONTAIRES EN NATURE,,,
870,Dons en nature,,Produit,Bénévolat
871,Prestations en nature,,Produit,Bénévolat
875,Bénévolat,,Produit,Bénévolat
89,COMPTES DE BILAN,,,
890,Bilan d'ouverture,,Actif ou passif,Ouverture
891,Bilan de clôture,,Actif ou passif,Clôture
9,Classe 9 — Comptes analytiques,,,
90,COMPTES RÉFLÉCHIS,,,
906,Charges réfléchies,,,
907,Produits réfléchis,,,
99,Projets,,,Analytique
